name,datePublished,image
Bluebeard,1901,https://www.dropbox.com/scl/fi/mxeutshxgh2ssboqftos6/1901_Bluebeard.png?rlkey=y5cp56obn7o9tu8h1k9k43lst&raw=1
The Treasures of Satan,1902,https://www.dropbox.com/scl/fi/sfhauzzt1jtszxezexxb7/1902_The-Treasures-of-Satan.png?rlkey=62x9gi8tivsarm3dfbr1x6oi5&raw=1
The Witch,1906,https://www.dropbox.com/scl/fi/pamwnb3v5tk6zymqa8ecu/1906_The-Witch.png?rlkey=9sugqxcuophaxijp7fiz8rj91&raw=1
The Hunchback of Notre Dame,1911,https://www.dropbox.com/scl/fi/gwxc5hmo0l8m2qvsvp6w8/1911_The-Hunchback-of-Notre-Dame.png?rlkey=p7973jl2kidq40vjrzko0n6m4&raw=1
Lady Godiva,1911,https://www.dropbox.com/scl/fi/lcpywsc3peujomps3pzk2/1911_Lady-Godiva.png?rlkey=7dp2l29gsoxa9i4820td17rlj&raw=1
The Life and Death of King Richard III,1912,https://www.dropbox.com/scl/fi/efovglhzfwrg4mb5gjpwe/1912_The-Life-and-Death-of-King-Richard-III.png?rlkey=kbr5aqunfha84kddcf0nxch61&raw=1
The Miracle,1912,https://www.dropbox.com/scl/fi/rgwvlfxuxjx0lm379ghd1/1912_The-Miracle.png?rlkey=xow5oas8as2tqmr8600aucw8n&raw=1
Hamlet,1917,https://www.dropbox.com/scl/fi/37638yp7yu3zbryziphwc/1917_Hamlet.png?rlkey=n0plx9jtjmqczyy2tuqvydvh9&raw=1
Jerusalem Liberated ,1918,https://www.dropbox.com/scl/fi/cale76l3pz3p77p8jesfq/1918_Jerusalem-Liberated.png?rlkey=nah01419cqd7jbe4qnfzab5na&raw=1
Wilhelm Tell,1923,https://www.dropbox.com/scl/fi/ns6ev6n2t5o7dnogwvrxd/1923_Wilhelm-Tell.png?rlkey=yvef8x1nsdz1vw012ponvc75n&raw=1
The Hunchback of Notre Dame,1923,https://www.dropbox.com/scl/fi/kt41ad0blkr1cs90xf97l/1923_The-Hunchback-of-Notre-Dame.png?rlkey=09zj8tg9b2iokibzf269u688k&raw=1
Miracle of the Wolves,1924,https://www.dropbox.com/scl/fi/rq5s5v9b2r71odpv2o8by/1924_Miracle-of-the-Wolves.png?rlkey=6b18o8ymlgp47lbjpx12lp3n0&raw=1
The Nibelungs: Siegfried,1924,https://www.dropbox.com/scl/fi/dzwj6qn1pcgexpplg0oo4/1924_The-Nibelungs-Siegfried.png?rlkey=7d2sklp06c3k24yjfeemsdl17&raw=1
